pair,test,n,auroc,bacc_coatdev,bacc_otherdev,bacc_owndev,tpr@fpr5
qwen3_14b,coat_test,24628,0.42706439169066673,0.5011775215202209,0.4721455254182232,0.5011775215202209,0.04588273509826214
qwen3_14b,llmtrace_test,4522,0.6130372274270773,0.5024561999068481,0.5728809706389595,0.5809323476607452,0.12277867528271405
qwen3_14b,ainl_test,10978,0.7760008626817725,0.5085935198688017,0.6723766130189683,0.7046902481923002,0.35173591348890154
qwen3_14b,gen_qwen38_27b_test,5636,0.6837544470580146,0.5063194236572363,0.6339401287952948,,0.1413770053475936
qwen3_14b,gen_tpro2_32b_test,5642,0.6995551399879316,0.5156686737018852,0.6494524799851465,,0.20574482297929192
qwen3_4b,coat_test,24628,0.4378059047949717,0.5018677927562125,0.4823371771966867,0.5018677927562125,0.05570894916355368
qwen3_4b,llmtrace_test,4522,0.6200340277293663,0.532566497033182,0.5770343136512016,0.5698642426961116,0.14754981152396338
qwen3_4b,ainl_test,10978,0.788585427685389,0.6283817891096029,0.7176588155877565,0.7165902476991909,0.3894137734775185
qwen3_4b,gen_qwen38_27b_test,5636,0.6728793803142217,0.5528987537113593,0.6240850538399929,,0.13636363636363635
qwen3_4b,gen_tpro2_32b_test,5642,0.6969218522644482,0.5859555213145324,0.6455905264708672,,0.19672678690714762
yagpt5_8b,coat_test,24628,0.4009980512626551,0.49987818742894263,0.47332304693844407,0.49987818742894263,0.042796816631476366
yagpt5_8b,llmtrace_test,4522,0.6154856478352282,0.5140096647642256,0.5700410494846839,0.5623223723227664,0.16855142703284867
yagpt5_8b,ainl_test,10978,0.8041979434227132,0.5908336168711903,0.7087816280964345,0.7399043264113763,0.49243027888446217
yagpt5_8b,gen_qwen38_27b_test,5636,0.5743511947138916,0.5029066416141481,0.5346814905304716,,0.06851604278074866
yagpt5_8b,gen_tpro2_32b_test,5642,0.5973781021257014,0.5129303168270075,0.573643888986432,,0.11723446893787576
