run,test,n,auroc,bacc,tpr@fpr5,tpr@fpr1,auroc_continue,auroc_paraphrase,auroc_simplify,auroc_len0-20,auroc_len21-40,auroc_len41+,words_human,words_machine
binoculars_qwen3_14b_bf16,gen_qwen38_27b_test,5636,0.6837544470580146,0.5064865359567015,0.1413770053475936,0.03542780748663102,0.7693355231176713,0.6264307543770289,0.6552389953886593,0.6092526557347487,0.7185184921643671,0.7342211994166971,23.0,26.0
binoculars_qwen3_4b_bf16,gen_qwen38_27b_test,5636,0.6728793803142217,0.5461439784963634,0.13636363636363635,0.028409090909090908,0.7315098759879395,0.6231562502375723,0.6637637983986127,0.6165307049228816,0.7025990694546855,0.7023511145252852,23.0,26.0
binoculars_yagpt5_8b_bf16,gen_qwen38_27b_test,5636,0.5743511947138916,0.5030737539136133,0.06851604278074866,0.012366310160427808,0.6868892341660874,0.5298295562532785,0.5060881975751806,0.5363688043393403,0.6011223112959592,0.5714969272433728,23.0,26.0
mix_all,gen_qwen38_27b_test,5636,0.7928211994466332,0.685840506605613,0.3766711229946524,0.21022727272727273,0.8431663509197549,0.7404883722698212,0.7946011159990176,0.6789494055178588,0.7900736199920482,0.8942454169053694,23.0,26.0
mix_all_bino,gen_qwen38_27b_test,5636,0.8019609275769172,0.691830256377066,0.37767379679144386,0.21490641711229946,0.8567707268539342,0.7644403941036498,0.7845039549598442,0.6923053240045874,0.8033638208037628,0.8929393325868445,23.0,26.0
mix_coat+ainl,gen_qwen38_27b_test,5636,0.6828828590816054,0.5699310617521661,0.18348930481283424,0.0785427807486631,0.7258110985418096,0.6219108021195235,0.700700379579128,0.623323294265636,0.6853081108293523,0.7634441240039581,23.0,26.0
mix_coat+ainl_bino,gen_qwen38_27b_test,5636,0.6889085089234428,0.57914853123205,0.18683155080213903,0.0731951871657754,0.7227020893813633,0.6081973787241807,0.7355495787338672,0.6376930156457716,0.6793358813185602,0.789168695640852,23.0,26.0
mix_coat+llmtrace,gen_qwen38_27b_test,5636,0.8114744462287735,0.7082992872571942,0.4057486631016043,0.22994652406417113,0.8481020733290022,0.7586510464577045,0.827474730095592,0.7070472495923347,0.8013594393602346,0.9117591531691057,23.0,26.0
mix_coat+llmtrace_bino,gen_qwen38_27b_test,5636,0.8053909644073556,0.6959461236014142,0.37967914438502676,0.21524064171122995,0.830513948138759,0.7626202114962102,0.8228849908591768,0.7017792130822357,0.7993070274760803,0.9022935003385242,23.0,26.0
mix_llmtrace+ainl,gen_qwen38_27b_test,5636,0.8234841574506299,0.7503036336938846,0.4364973262032086,0.22459893048128343,0.8602906991711834,0.7796322763591027,0.83036079723744,0.7285801151688883,0.8369001865182111,0.8950884719545857,23.0,26.0
